Name,Dist,Dist_BJ2021,SpT,Teff,log_L__,source
RXJ0445.8+1556,140,167.682648,G5,5770,0.485,Manara+2017
RXJ1508.6-4423,150,145.593872,G8,5520,0.043,Manara+2017
RXJ1526.0-4501,150,150.109146,G9,5410,-0.061,Manara+2017
PZ99J160843.4-260216,145,137.38,K0.5,5165.0,0.14,Manara+2017
RXJ1515.8-3331,150,115.504425,K0.5,5165.0,0.098,Manara+2017
PZ99J160550.5-253313,145,105.12,K1,5080.0,-0.007,Manara+2017
RXJ0457.5+2014,140,122.217674,K1,5080.0,-0.15,Manara+2017
RXJ0438.6+1546,140,139.17514,K2,4900,-0.024,Manara+2017
RXJ1547.7-4018,150,130.18364,K3,4730,-0.081,Manara+2017
RXJ1538.6-3916,150,122.54,K4,4590,-0.217,Manara+2017
TWA9A,68,76.33,K5,4350,-0.61,Manara+2013
RXJ1540.7-3756,150,134.277893,K6,4205,-0.405,Manara+2017
RXJ1543.1-3920,150,135.764175,K6,4205,-0.397,Manara+2017
SO879,360,396.683,K7,4060,-0.29,Manara+2013
TWA6,51,65.47,K7,4060,-0.96,Manara+2013
TWA25,54,53.513,M0,3850,-0.61,Manara+2013
TWA14,96,91.99,M0.5,3780,-0.83,Manara+2013
TWA13B,59,59.744,M1,3705,-0.7,Manara+2013
TWA13A,59,59.707,M1,3705,-0.61,Manara+2013
TWA2A,47,45.94,M2,3560,-0.48,Manara+2013
Sz122,200,136.275,M2,3560,-0.6,Manara+2013
TWA9B,68,76.073,M3,3415,-1.17,Manara+2013
TWA15B,111,114.681,M3,3415,-0.96,Manara+2013
TWA7,28,34.049,M3,3415,-1.14,Manara+2013
TWA15A,111,114.172,M3.5,3340,-0.95,Manara+2013
Sz121,200,158.537,M4,3270,-0.34,Manara+2013
Sz94,200,114.67,M4,3270,-0.76,Manara+2013
SO797,360,382.981,M4.5,3200,-1.26,Manara+2013
SO641,360,403.771,M5,3125,-1.53,Manara+2013
Par-Lup3-2,200,157.173,M5,3125,-0.75,Manara+2013
SO925,360,382.698,M5.5,3060,-1.59,Manara+2013
SO999,360,389.113,M5.5,3060,-1.28,Manara+2013
Sz107,200,152.36,M5.5,3060,-0.79,Manara+2013
Par-Lup3-1,200,158.968,M6.5,2935,-1.18,Manara+2013
LM717,160,190.56,M6.5,2935,-1.75,Manara+2017
J11195652-7504529,160,190.986115,M7,2880,-2.177,Manara+2017
LM601,160,186.1,M7.5,2795,-2.229,Manara+2017
CHSM17173,160,191.064148,M8,2710,-1.993,Manara+2017
TWA26,42,46.56,M9,2400,-2.7,Manara+2013
TWA29,79,82.635,M9.5,2330,-2.81,Manara+2013