Name,Dist,SpT,Teff,log_L__,source
RXJ0445.8+1556,140,G5,5770,0.485,Manara+2017
RXJ1508.6-4423,150,G8,5520,0.043,Manara+2017
RXJ1526.0-4501,150,G9,5410,-0.061,Manara+2017
RXJ1515.8-3331,150,K0.5,5050,0.098,Manara+2017
RXJ0457.5+2014,140,K1,5000,-0.15,Manara+2017
RXJ0438.6+1546,140,K2,4900,-0.024,Manara+2017
RXJ1547.7-4018,150,K3,4730,-0.081,Manara+2017
RXJ1538.6-3916,150,K4,4590,-0.217,Manara+2017
TWA9A,68,K5,4350,-0.61,Manara+2013
RXJ1540.7-3756,150,K6,4205,-0.405,Manara+2017
TWA6,51,K7,4060,-0.96,Manara+2013
TWA25,54,M0,3850,-0.61,Manara+2013
TWA14,96,M0.5,3780,-0.83,Manara+2013
TWA13B,59,M1,3705,-0.7,Manara+2013
TWA2A,47,M2,3560,-0.48,Manara+2013
TWA7,28,M3,3415,-1.14,Manara+2013
Sz121,200,M4,3270,-0.34,Manara+2013
SO797,360,M4.5,3200,-1.26,Manara+2013
SO641,360,M5,3125,-1.53,Manara+2013
SO999,360,M5.5,3060,-1.28,Manara+2013
Par-Lup3-1,200,M6.5,2935,-1.18,Manara+2013
CHSM17173,160,M8,2710,-1.993,Manara+2017
TWA26,42,M9,2400,-2.7,Manara+2013